"ISBN","Book-Title","Book-Author","Year-Of-Publication","Publisher","Image-URL-L","category","Price","Description"
"195153448","Classical Mythology","Mark P. O. Morford","2002","Oxford University Press","http://images.amazon.com/images/P/0195153448.01.LZZZZZZZ.jpg","society","5.846497963","b'Classical Mythology is a broad topic that encompasses the myths and legends of ancient Greece and Rome. These myths are filled with gods, goddesses, heroes, and monsters, and they often explore universal themes such as love, loss, power, and mortality.\n\nSome of the most famous figures from classical mythology include Zeus, the king of the gods; Athena, the goddess of wisdom; Apollo, the god of music and prophecy; and Aphrodite, the goddess of love and beauty. Heroes such as Heracles (Hercules), Theseus, and Perseus are also well-known for their daring exploits and battles against formidable foes.\n\nThe myths of classical mythology have had a profound influence on Western culture, and continue to be retold and reinterpreted in literature, art, and film. From the epic poems of Homer to the modern retellings of Rick Riordan, classical mythology has captivated audiences for centuries and remains an enduring source of inspiration and wonder.'"
"2005018","Clara Callan","Richard Bruce Wright","2001","HarperFlamingo Canada","http://images.amazon.com/images/P/0002005018.01.LZZZZZZZ.jpg","novel","13.89492148","b""Clara Callan is a novel written by Canadian author Richard B. Wright, which was first published in 2001. The novel is set in the 1930s in rural Ontario, Canada, and is told through the alternating voices of two sisters, Clara and Nora Callan.\n\nClara is a single, independent woman who works as a radio personality in Toronto, while Nora is a traditional wife and mother who lives with her husband and children in a small town. As the story unfolds, the sisters' contrasting lives and personalities are explored, along with the societal expectations and limitations of women during the era.\n\nThe novel touches on various themes such as loneliness, personal fulfillment, and the search for identity. Clara, in particular, struggles with her own sense of self and attempts to reconcile her desires with the expectations of society. The novel also addresses the political climate of the time, including the rise of fascism and anti-Semitism in Europe, and its impact on the characters' lives.\n\nClara Callan won the 2001 Governor General's Award for English-language fiction, one of Canada's most prestigious literary awards. It has been praised for its vivid characterizations, insightful commentary on the role of women in society, and its masterful evocation of the time period."""
"60973129","Decision in Normandy","Carlo D'Este","1983","HarperPerennial","http://images.amazon.com/images/P/0060973129.01.LZZZZZZZ.jpg","society","12.49206878","b""Decision in Normandy is a non-fiction book written by American military historian and author, Carlo D'Este. The book was first published in 1983 and provides an in-depth analysis of the Allied campaign in Normandy during World War II.\n\nThe book focuses on the military strategy and decision-making processes that led to the successful invasion of Normandy in 1944, which marked a turning point in the war. D'Este examines the various factors that influenced the planning and execution of the invasion, including the personalities of the key military leaders involved, the intelligence operations, and the logistics of the massive amphibious assault.\n\nThe book also explores the challenges faced by the Allied forces during the campaign, such as the difficulty of coordinating the efforts of multiple nations and armies, and the heavy losses sustained by both sides during the fierce fighting. D'Este provides a detailed analysis of the battles, tactics, and key decisions made by the Allied commanders, and examines their impact on the outcome of the campaign.\n\nDecision in Normandy has been praised for its meticulous research, clear and engaging writing style, and its insightful analysis of the military strategy and decision-making of the campaign. The book has become a classic in the field of military history, and remains a valuable resource for anyone interested in the history of World War II and the Normandy campaign in particular."""
"374157065","Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It","Gina Bari Kolata","1999","Farrar Straus Giroux","http://images.amazon.com/images/P/0374157065.01.LZZZZZZZ.jpg","society","9.533467504","b'Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It is a non-fiction book written by American author, Gina Kolata. The book was first published in 1999 and provides an in-depth examination of the 1918 influenza pandemic, one of the deadliest pandemics in human history.\n\nThe book explores the origins of the pandemic, its global impact, and the scientific efforts to understand the virus that caused it. Kolata examines the medical and societal responses to the pandemic, including the role of public health officials, the challenges of treating and preventing the disease, and the impact of wartime conditions on the spread of the virus.\n\nOne of the key themes of the book is the search for the virus that caused the pandemic. Kolata chronicles the efforts of scientists over several decades to isolate and study the virus, and the various controversies and setbacks that hampered their work. She also explores the implications of this research for our understanding of influenza and the potential for future pandemics.\n\nFlu has been praised for its engaging storytelling, rigorous research, and insightful analysis of the scientific and social factors that contributed to the 1918 pandemic. The book has been widely read and cited by researchers and public health officials, and remains a valuable resource for anyone interested in the history of pandemics and the scientific quest to understand infectious diseases.'"
"393045218","The Mummies of Urumchi","E. J. W. Barber","1999","W. W. Norton &amp; Company","http://images.amazon.com/images/P/0393045218.01.LZZZZZZZ.jpg","fiction","14.97758113","b'The Mummies of Urumchi is a non-fiction book written by British archaeologist and author, Elizabeth Wayland Barber. The book was first published in 1999 and provides an in-depth exploration of the ancient mummies found in the Tarim Basin of western China, near the city of Urumchi.\n\nThe mummies, which were discovered in the late 20th century, are remarkably well-preserved and date back to the first millennium BC. Barber examines the physical characteristics of the mummies, such as their clothing, tattoos, and hairstyles, and uses this information to shed light on the cultural and social practices of the people who lived in the region at that time.\n\nOne of the key themes of the book is the question of the origins of the people who created the mummies. Barber explores various theories about their ancestry and migration patterns, and discusses the linguistic and genetic evidence that has been used to support different hypotheses. She also examines the political and economic contexts in which the mummies were created, including the role of the Silk Road in facilitating cultural exchange and interaction.\n\nThe Mummies of Urumchi has been praised for its engaging writing style, detailed descriptions of the mummies and their cultural context, and its interdisciplinary approach to archaeology and anthropology. The book has been widely read by scholars and general readers alike, and remains a valuable resource for anyone interested in the history and culture of ancient Central Asia.\n\n'"
"399135782","The Kitchen God's Wife","Amy Tan","1991","Putnam Pub Group","http://images.amazon.com/images/P/0399135782.01.LZZZZZZZ.jpg","science","20.66183458","b""The Kitchen God's Wife is a novel written by Chinese-American author, Amy Tan. The novel was first published in 1991 and explores the complex relationship between a Chinese-American mother and her daughter, as well as their shared family history.\n\nThe novel is narrated by Pearl Louie Brandt, a Chinese-American woman who is struggling to come to terms with her difficult relationship with her mother, Winnie. Through a series of flashbacks and conversations, Winnie gradually reveals her traumatic past in China, including her arranged marriage, her struggles with poverty and abuse, and her eventual escape to America.\n\nOne of the key themes of the novel is the tension between the traditional Chinese values of filial piety and duty to family, and the individualistic values of American culture. Pearl struggles to understand her mother's adherence to these traditional values, even as she chafes against them herself. The novel also explores the ways in which cultural and generational differences can create misunderstandings and conflict within families.\n\nThe Kitchen God's Wife has been praised for its lyrical writing style, complex characters, and sensitive portrayal of the experiences of Chinese-American immigrants. The novel has been widely read and taught in universities and schools, and is considered a classic of Asian-American literature."""
"425176428","What If?: The World's Foremost Military Historians Imagine What Might Have Been","Robert Cowley","1999","Berkley Publishing Group","http://images.amazon.com/images/P/0425176428.01.LZZZZZZZ.jpg","health","21.54286968","b""What If?: The World's Foremost Military Historians Imagine What Might Have Been is a non-fiction book edited by American military historian, Robert Cowley. The book was first published in 1999 and features a collection of essays by prominent military historians, exploring what might have happened if key historical events had unfolded differently.\n\nThe book features essays on a wide range of historical events, from the ancient world to the 20th century. Some of the essays explore well-known events, such as the Battle of Waterloo, while others examine lesser-known events, such as the 1864 Battle of Atlanta in the American Civil War.\n\nThe essays are based on meticulous research and incorporate a variety of historical perspectives, including military strategy, diplomacy, and cultural factors. The authors imagine how events might have unfolded differently if key decisions had been made differently, or if unexpected events had occurred.\n\nOne of the key themes of the book is the idea that history is not predetermined, and that small changes can have significant impacts on the course of events. The book encourages readers to think critically about the decisions and events that shape history, and to consider how different choices might have led to different outcomes.\n\nWhat If? has been widely read and debated by historians, military scholars, and general readers alike. The book has been praised for its engaging writing style, rigorous research, and imaginative exploration of historical what-if scenarios. It remains a valuable resource for anyone interested in the study of history and the ways in which historical events shape our world."""
"671870432","PLEADING GUILTY","Scott Turow","1993","Audioworks","http://images.amazon.com/images/P/0671870432.01.LZZZZZZZ.jpg","fiction","15.86540728","b""Pleading Guilty is a legal thriller novel written by American author, Scott Turow. The novel was first published in 1993 and tells the story of a prominent corporate lawyer, Mack Malloy, who becomes embroiled in a complex criminal case.\n\nThe novel is set in Kindle County, a fictional Midwestern city that serves as the setting for many of Turow's novels. Malloy is a former prosecutor who is now working as a defense lawyer for Gage & Griswell, a prominent law firm. When his colleague and friend, Carolyn Polhemus, is found murdered, Malloy becomes a suspect in the case.\n\nAs Malloy works to clear his name, he uncovers a web of corruption and deceit within the legal system, including illegal wiretapping and a cover-up involving powerful figures in the community. The novel explores themes such as justice, loyalty, and the ethical dilemmas faced by lawyers in the pursuit of their clients' interests.\n\nPleading Guilty has been praised for its intricate plot, engaging characters, and its realistic portrayal of the legal system. The novel has been widely read by fans of legal thrillers and has been compared favorably to Turow's other works, such as Presumed Innocent and The Burden of Proof."""
"679425608","Under the Black Flag: The Romance and the Reality of Life Among the Pirates","David Cordingly","1996","Random House","http://images.amazon.com/images/P/0679425608.01.LZZZZZZZ.jpg","society","6.093715415","b'Under the Black Flag: The Romance and the Reality of Life Among the Pirates is a non-fiction book written by American historian, David Cordingly. The book was first published in 1995 and provides an in-depth exploration of the history and culture of piracy in the 17th and 18th centuries.\n\nThe book covers a wide range of topics related to piracy, including the origins of piracy, the social and economic conditions that gave rise to it, and the tactics and techniques used by pirates to attack and capture ships. Cordingly also examines the lives and motivations of famous pirates such as Blackbeard, Captain Kidd, and Anne Bonny, and explores the myths and legends that have grown up around these figures.\n\nOne of the key themes of the book is the tension between the romanticized image of pirates that has been popularized in literature and film, and the harsh reality of life among the pirates. Cordingly explores the brutal violence, disease, and other challenges faced by pirates, as well as the complex social and political relationships that existed within pirate crews.\n\nUnder the Black Flag has been praised for its engaging writing style, thorough research, and its balanced portrayal of the realities of piracy. The book has been widely read and has influenced popular depictions of pirates in media, helping to dispel many of the myths and stereotypes that have grown up around this fascinating chapter in history.'"
"74322678X","Where You'll Find Me: And Other Stories","Ann Beattie","2002","Scribner","http://images.amazon.com/images/P/074322678X.01.LZZZZZZZ.jpg","society","9.917047808","b""Where You'll Find Me: And Other Stories is a collection of short stories written by American author, Ann Beattie. The book was first published in 1986 and features 12 stories that explore the lives of a variety of characters living in contemporary America.\n\nThe stories in the collection are connected thematically by their focus on characters who are struggling to find their place in the world, grappling with issues such as love, loss, and the search for identity. The characters in the stories are often adrift, disconnected from the people and places around them, and struggling to make meaningful connections with others.\n\nBeattie's writing style is spare and understated, with a focus on subtle details and observations that reveal the inner lives of her characters. The stories are often introspective and melancholy, but also contain moments of humor and hope.\n\nWhere You'll Find Me has been widely praised for its insight into the human condition, its evocative prose, and its exploration of the complexities of human relationships. The book has been highly influential in the field of contemporary short fiction and remains a popular choice for readers who appreciate literary fiction that explores the nuances of the human experience."""
